pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
pool_2,1,2022 08 15,na_na_na_na,0_0_na,393,11 18 00,12 18 00,1,sacarosa,sacarosa,1,1,578,286,0,0,34,21,0.5,1.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,394,11 18 00,12 18 00,2,sacarosa,sacarosa,1,1,124,633,0,0,10,21,0,0.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,395,11 18 00,12 18 00,3,sacarosa,sacarosa,1,1,123,229,0,0,10,8,0,1
pool_2,1,2022 08 15,na_na_na_na,0_0_na,396,11 18 00,12 18 00,4,sacarosa,sacarosa,1,1,1219,425,0,0,47,21,1.5,0.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,397,12 37 00,13 37 00,1,sacarosa,sacarosa,1,1,362,227,0,0,25,22,1.5,0.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,398,12 37 00,13 37 00,2,sacarosa,sacarosa,1,1,563,200,0,0,24,15,0.5,0.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,399,12 41 00,13 42 00,3,sacarosa,sacarosa,1,1,215,274,0,0,15,13,0.5,0.5
pool_2,1,2022 08 15,na_na_na_na,0_0_na,400,12 41 00,13 42 00,4,sacarosa,sacarosa,1,1,140,275,0,0,16,17,0,0
pool_2,2,2022 08 16,na_na_na_na,0_0_na,393,11 18 00,12 18 00,1,sacarosa,sacarosa,1,1,355,444,0,0,33,33,1,1
pool_2,2,2022 08 16,na_na_na_na,0_0_na,394,11 18 00,12 18 00,2,sacarosa,sacarosa,1,1,742,390,0,0,36,23,1,0.5
pool_2,2,2022 08 16,na_na_na_na,0_0_na,395,11 18 00,12 18 00,3,sacarosa,sacarosa,1,1,1103,261,0,0,37,16,1.5,0
pool_2,2,2022 08 16,na_na_na_na,0_0_na,396,11 18 00,12 18 00,4,sacarosa,sacarosa,1,1,752,470,0,0,41,25,1,0.5
pool_2,2,2022 08 16,na_na_na_na,0_0_na,397,12 40 00,13 40 00,1,sacarosa,sacarosa,1,1,1162,665,0,0,53,40,1,1
pool_2,2,2022 08 16,na_na_na_na,0_0_na,398,12 40 00,13 40 00,2,sacarosa,sacarosa,1,1,278,501,0,0,21,28,1,1
