ID,date,weight
413,22 09 21,25.83
414,22 09 21,26.41
415,22 09 21,25.1
416,22 09 21,23.87
417,22 09 21,24.27
418,22 09 21,24.5
419,22 09 21,24.33
420,22 09 21,25
421,22 09 21,24.96
422,22 09 21,24.27
413,22 09 23,25.55
414,22 09 23,25.77
415,22 09 23,25.13
416,22 09 23,24.47
417,22 09 23,24.33
418,22 09 23,24.58
419,22 09 23,23.86
420,22 09 23,24.3
421,22 09 23,24.1
422,22 09 23,24.1
413,22 09 26,25.4
414,22 09 26,25
415,22 09 26,24.63
416,22 09 26,25.51
417,22 09 26,25
418,22 09 26,24
419,22 09 26,24.61
420,22 09 26,23.83
421,22 09 26,24.96
422,22 09 26,23.65
413,22 09 28,25.56
414,22 09 28,26.06
415,22 09 28,24.6
416,22 09 28,25.26
417,22 09 28,24.7
418,22 09 28,24.1
419,22 09 28,24.4
420,22 09 28,24.56
421,22 09 28,24.9
422,22 09 28,24.1
413,22 09 30,25.7
414,22 09 30,26.7
415,22 09 30,24.9
416,22 09 30,24.87
417,22 09 30,24.7
418,22 09 30,24.2
419,22 09 30,24.42
420,22 09 30,25.1
421,22 09 30,25.1
422,22 09 30,24.6
